,sample,density,wood,keepit,year,label
132,152.0,0.37394,1,1,2018.0,VF2
133,152.0,0.380169,1,1,2018.0,VF2
134,152.0,0.391608,1,1,2018.0,VF2
135,152.0,0.396699,1,1,2018.0,VF2
136,152.0,0.39056,1,1,2018.0,VF2
137,152.0,0.355553,1,1,2018.0,VF2
138,152.0,0.334561,1,1,2018.0,VF2
139,152.0,0.318181,0,1,2019.0,VF2
140,152.0,0.319139,0,1,2019.0,VF2
141,152.0,0.322463,0,1,2019.0,VF2
142,152.0,0.326506,0,1,2019.0,VF2
143,152.0,0.325847,0,1,2019.0,VF2
144,152.0,0.326656,0,1,2019.0,VF2
145,152.0,0.330519,0,1,2019.0,VF2
146,152.0,0.333364,0,1,2019.0,VF2
147,152.0,0.343365,0,1,2019.0,VF2
148,152.0,0.345551,0,1,2019.0,VF2
149,152.0,0.347797,0,1,2019.0,VF2
150,152.0,0.350942,0,1,2019.0,VF2
151,152.0,0.35184,0,1,2019.0,VF2
152,152.0,0.34651,0,1,2019.0,VF2
153,152.0,0.349654,0,1,2019.0,VF2
154,152.0,0.349654,1,1,2019.0,VF2
155,152.0,0.364837,1,1,2019.0,VF2
156,152.0,0.375946,1,1,2019.0,VF2
157,152.0,0.386218,1,1,2019.0,VF2
158,152.0,0.364657,1,1,2019.0,VF2
159,152.0,0.364657,1,1,2019.0,VF2
160,152.0,0.331177,1,1,2019.0,VF2
161,152.0,0.327704,0,1,2020.0,VF2
162,152.0,0.346031,0,1,2020.0,VF2
163,152.0,0.349983,0,0,2020.0,VF2
164,152.0,0.353757,0,0,2020.0,VF2
165,152.0,0.328363,0,0,2020.0,VF2
166,152.0,0.301471,0,0,2020.0,VF2
167,152.0,0.254715,0,0,2020.0,VF2
168,152.0,0.240389,0,0,2020.0,VF2
169,152.0,0.221621,0,0,2020.0,VF2
170,152.0,0.150687,0,0,2021.0,VF2
171,152.0,0.069213,0,0,2021.0,VF2
172,152.0,0.043121,0,0,2021.0,VF2
