,SAMPLE,THICKNESS mm,SLITLENGTH mm,SLITWIDTH mm,HPIXELSIZE mm,VPIXELSIZE mm,MIN,MAX
84,68.0,2.295,2.0,0.024218,0.021167,0.021167,87.0,154.0
85,141.0,2.294,2.0,0.022177,0.021167,0.021167,27.0,152.0
86,37.0,1.903,2.0,0.021531,0.021167,0.021167,57.0,146.0
87,183.0,2.227,2.0,0.021279,0.021167,0.021167,78.0,162.0
88,4.0,2.352,2.0,0.021205,0.021167,0.021167,27.0,142.0
89,170.0,2.042,2.0,0.021207,0.021167,0.021167,61.0,180.0
90,186.0,2.366,2.0,0.02548,0.021167,0.021167,44.0,186.0
91,112.0,2.112,2.0,0.027296,0.021167,0.021167,80.0,142.0
92,59.0,2.339,2.0,0.021556,0.021167,0.021167,51.0,133.0
93,78.0,2.179,2.0,0.021182,0.021167,0.021167,73.0,173.0
94,158.0,2.337,2.0,0.022577,0.021167,0.021167,94.0,217.0
95,126.0,2.254,2.0,0.023302,0.021167,0.021167,35.0,139.0
96,8.0,2.365,2.0,0.022949,0.021167,0.021167,42.0,133.0
97,89.0,2.35,2.0,0.021415,0.021167,0.021167,37.0,167.0
98,35.0,2.236,2.0,0.021671,0.021167,0.021167,91.0,190.0
99,165.0,2.302,2.0,0.021231,0.021167,0.021167,40.0,147.0
100,185.0,2.287,2.0,0.021186,0.021167,0.021167,66.0,137.0
101,161.0,2.429,2.0,0.02162,0.021167,0.021167,51.0,161.0
102,111.0,2.244,2.0,0.023463,0.021167,0.021167,42.0,170.0
103,102.0,2.247,2.0,0.021173,0.021167,0.021167,42.0,148.0
104,50.0,2.243,2.0,0.027265,0.021167,0.021167,110.0,181.0
105,10.0,2.427,2.0,0.021302,0.021167,0.021167,31.0,174.0
106,157.0,2.117,2.0,0.023805,0.021167,0.021167,24.0,180.0
107,70.0,2.481,2.0,0.026796,0.021167,0.021167,23.0,152.0
108,180.0,2.237,2.0,0.021452,0.021167,0.021167,72.0,159.0
109,21.0,2.017,2.0,0.026517,0.021167,0.021167,38.0,169.0
110,51.0,2.245,2.0,0.021484,0.021167,0.021167,48.0,124.0
111,139.0,2.181,2.0,0.021705,0.021167,0.021167,54.0,151.0
112,1.0,2.03,1.0,0.02144,0.021167,0.021167,56.0,137.0
113,63.0,2.432,2.0,0.021211,0.021167,0.021167,38.0,141.0
114,118.0,2.275,2.0,0.02136,0.021167,0.021167,37.0,163.0
115,45.0,2.28,2.0,0.02801,0.021167,0.021167,58.0,163.0
116,184.0,2.277,2.0,0.022448,0.021167,0.021167,55.0,121.0
117,67.0,2.45,2.0,0.021654,0.021167,0.021167,22.0,126.0
118,120.0,2.458,2.0,0.021624,0.021167,0.021167,28.0,184.0
119,43.0,2.169,2.0,0.021853,0.021167,0.021167,37.0,155.0
120,160.0,2.331,2.0,0.02121,0.021167,0.021167,46.0,135.0
121,154.0,2.203,2.0,0.024179,0.021167,0.021167,22.0,150.0
122,144.0,2.288,2.0,0.021429,0.021167,0.021167,63.0,160.0
123,87.0,2.222,2.0,0.021185,0.021167,0.021167,38.0,166.0
124,53.0,2.443,2.0,0.025366,0.021167,0.021167,42.0,161.0
125,91.0,2.112,2.0,0.021399,0.021167,0.021167,75.0,174.0
126,79.0,2.262,2.0,0.021214,0.021167,0.021167,47.0,167.0
127,115.0,2.376,2.0,0.023602,0.021167,0.021167,-6.0,210.0
128,138.0,2.11,2.0,0.021894,0.021167,0.021167,40.0,161.0
129,94.0,2.308,2.0,0.023651,0.021167,0.021167,24.0,166.0
130,5.0,2.393,2.0,0.022116,0.021167,0.021167,27.0,145.0
131,173.0,2.414,2.0,0.022754,0.021167,0.021167,34.0,156.0
132,98.0,2.343,2.0,0.022113,0.021167,0.021167,67.0,163.0
133,26.0,1.965,2.0,0.021315,0.021167,0.021167,45.0,195.0
134,125.0,2.175,2.0,0.021258,0.021167,0.021167,40.0,141.0
135,162.0,2.237,2.0,0.021682,0.021167,0.021167,35.0,155.0
136,124.0,2.234,2.0,0.02117,0.021167,0.021167,42.0,142.0
137,20.0,1.812,2.0,0.02916,0.021167,0.021167,48.0,130.0
138,61.0,2.197,2.0,0.023362,0.021167,0.021167,30.0,140.0
139,131.0,2.342,2.0,0.02491,0.021167,0.021167,73.0,135.0
140,65.0,2.278,2.0,0.021625,0.021167,0.021167,50.0,153.0
141,86.0,2.086,2.0,0.021226,0.021167,0.021167,84.0,167.0
142,41.0,2.306,2.0,0.025772,0.021167,0.021167,47.0,166.0
143,92.0,2.253,2.0,0.022744,0.021167,0.021167,11.0,195.0
144,75.0,2.264,2.0,0.027076,0.021167,0.021167,75.0,192.0
145,182.0,2.32,2.0,0.023194,0.021167,0.021167,59.0,173.0
146,54.0,2.436,2.0,0.028954,0.021167,0.021167,26.0,117.0
147,135.0,1808.0,2.0,0.02192,0.021167,0.021167,36.0,138.0
148,110.0,2.342,2.0,0.022593,0.021167,0.021167,33.0,156.0
149,93.0,2.142,2.0,0.021218,0.021167,0.021167,28.0,136.0
150,23.0,2.001,2.0,0.022438,0.021167,0.021167,41.0,167.0
151,27.0,2.117,2.0,0.024585,0.021167,0.021167,94.0,214.0
152,150.0,2.157,2.0,0.022076,0.021167,0.021167,80.0,172.0
153,142.0,2.234,2.0,0.022452,0.021167,0.021167,53.0,161.0
154,101.0,2.461,2.0,0.022797,0.021167,0.021167,41.0,150.0
155,96.0,2.369,2.0,0.023253,0.021167,0.021167,40.0,194.0
156,105.0,2.362,2.0,0.027098,0.021167,0.021167,69.0,178.0
157,129.0,2.048,2.0,0.023756,0.021167,0.021167,33.0,164.0
158,72.0,2.377,2.0,0.02725,0.021167,0.021167,34.0,143.0
159,73.0,2.313,2.0,0.022743,0.021167,0.021167,49.0,172.0
160,49.0,2.151,2.0,0.021167,0.021167,0.021167,75.0,155.0
161,42.0,2.348,2.0,0.021919,0.021167,0.021167,39.0,149.0
162,44.0,2.039,2.0,0.022644,0.021167,0.021167,57.0,170.0
163,85.0,2.086,2.0,0.023208,0.021167,0.021167,76.0,168.0
164,153.0,2.33,2.0,0.02129,0.021167,0.021167,81.0,178.0
165,133.0,2.178,2.0,0.024495,0.021167,0.021167,83.0,183.0
166,9.0,2.192,2.0,0.022146,0.021167,0.021167,44.0,119.0
167,14.0,2.445,2.0,0.02963,0.021167,0.021167,39.0,146.0
168,99.0,2.233,2.0,0.021229,0.021167,0.021167,49.0,161.0
169,24.0,1.967,2.0,0.021905,0.021167,0.021167,52.0,189.0
170,90.0,2.373,2.0,0.023713,0.021167,0.021167,8.0,112.0
171,123.0,2.242,2.0,0.022716,0.021167,0.021167,39.0,181.0
172,40.0,2.218,2.0,0.022734,0.021167,0.021167,39.0,151.0
173,95.0,2.345,2.0,0.021749,0.021167,0.021167,54.0,192.0
174,2.0,2.49,1.0,0.025692,0.021167,0.021167,32.0,147.0
175,18.0,2.372,2.0,0.021707,0.021167,0.021167,64.0,197.0
176,52.0,2.395,2.0,0.02249,0.021167,0.021167,112.0,203.0
177,109.0,2.398,2.0,0.024545,0.021167,0.021167,78.0,186.0
178,117.0,2.415,2.0,0.022358,0.021167,0.021167,7.0,115.0
179,132.0,2.116,2.0,0.024271,0.021167,0.021167,121.0,190.0
180,88.0,2.164,2.0,0.029738,0.021167,0.021167,79.0,167.0
181,80.0,2.145,2.0,0.02217,0.021167,0.021167,28.0,144.0
182,28.0,1.993,2.0,0.021718,0.021167,0.021167,70.0,189.0
183,134.0,1.963,2.0,0.024508,0.021167,0.021167,76.0,138.0
184,57.0,2.47,2.0,0.025618,0.021167,0.021167,34.0,140.0
185,103.0,2.13,2.0,0.022093,0.021167,0.021167,99.0,200.0
186,47.0,2.1,2.0,0.021297,0.021167,0.021167,53.0,162.0
187,15.0,2.25,2.0,0.021606,0.021167,0.021167,21.0,134.0
